app_name;count
STAR WARS™ Empire at War: Gold Pack;20553
Call of Duty: Infinite Warfare;20736
Day of Infamy;20908
Little Nightmares;20982
Blackwake;21147
BATTLETECH;21813
Two Point Hospital;22116
Super Hexagon;22216
NBA 2K19;22437
The Sims(TM) 3;22812
Half-Life 2: Episode Two;23500
Artifact;23509
VA-11 Hall-A: Cyberpunk Bartender Action;23694
Nioh: Complete Edition;24622
HuniePop;24666
The Wolf Among Us;24931
Overcooked! 2;26015
People Playground;26319
Call of Duty: WWII;27617
Duck Game;27945
Super Meat Boy;28192
Sniper Elite 4;28252
My Time At Portia;29557
PC Building Simulator;29623
FINAL FANTASY XIV Online;29941
Batman: Arkham Asylum GOTY Edition;31062
Celeste;31454
Ravenfield;31746
Yakuza 0;31775
They Are Billions;31842
Getting Over It with Bennett Foddy;31970
Northgard;32733
FINAL FANTASY XV WINDOWS EDITION;32864
Totally Accurate Battlegrounds;34465
DRAGON BALL FighterZ;34629
Banished;34675
A Hat in Time;34979
House Flipper;36092
Resident Evil 7 Biohazard;36142
DARK SOULS™: REMASTERED;36603
Black Desert Online;36968
ATLAS;37210
The Crew 2;37744
Tabletop Simulator;37766
GRIS;38048
Jurassic World Evolution;38096
Farming Simulator 19;38429
Papers, Please;39882
Kenshi;39936
Persona 4 Golden;40180
Broforce;40977
Satisfactory;42449
Planet Coaster;43637
South Park™: The Stick of Truth™;44849
SCUM;44913
Crusader Kings III;45151
Beat Saber;46043
Total War: WARHAMMER;46205
Watch_Dogs 2;47742
DEATH STRANDING;47781
HITMAN™ 2;48372
The Binding of Isaac;48838
Half-Life: Alyx;51099
Tom Clancy's Ghost Recon® Wildlands;51460
Totally Accurate Battle Simulator;52119
Ori and the Will of the Wisps;52554
To the Moon;52738
The Walking Dead;52757
Middle-earth™: Shadow of War™;54196
Enter the Gungeon;55358
Dishonored;56337
Black Mesa;56895
Total War: ROME II - Emperor Edition;57149
Half-Life;57320
FTL: Faster Than Light;57466
Slime Rancher;58049
Saints Row: The Third;59305
BattleBlock Theater;59317
Bloons TD 6;59760
Frostpunk;59768
Oxygen Not Included;59920
Hotline Miami;60074
BeamNG.drive;60096
Mirror;60195
XCOM 2;61636
Warhammer: Vermintide 2;61887
Conan Exiles;62151
Assassin's Creed Origins;62294
Insurgency: Sandstorm;64638
Dead Cells;64772
Outlast;65525
Total War: THREE KINGDOMS;66982
Borderlands 3;67080
theHunter: Call of the Wild™;67240
Cuphead;68691
American Truck Simulator;71140
Deep Rock Galactic;72059
Kingdom Come: Deliverance;72944
Castle Crashers;74916
Hunt: Showdown;79345
NieR:Automata™;81110
Just Cause 3;82168
MORDHAU;82327
Resident Evil 2;82650
Don't Starve;85088
Total War: WARHAMMER II;85255
Europa Universalis IV;85477
Far Cry 5;85745
Slay the Spire;86023
Helltaker;86306
Darkest Dungeon®;86384
Age of Empires II (2013);86513
Rise of the Tomb Raider;91106
The Elder Scrolls Online;91923
Assassin's Creed Odyssey;92766
For Honor;93971
RimWorld;94041
Stellaris;94667
Raft;97930
DOOM Eternal;105196
BioShock Infinite;107277
Factorio;108282
Divinity: Original Sin 2;113508
Hearts of Iron IV;116255
Counter-Strike: Source;118081
Hades;118416
Sekiro™: Shadows Die Twice;119760
Human: Fall Flat;123604
Mount & Blade: Warband;123905
The Binding of Isaac: Rebirth;124389
DOOM;139973
The Elder Scrolls V: Skyrim Special Edition;142509
Sid Meier's Civilization VI;143789
Undertale;144351
Cities: Skylines;147028
Doki Doki Literature Club;148837
Subnautica;152414
Sid Meier's Civilization V;171404
Tomb Raider;181054
No Man's Sky;182045
Arma 3;182348
Dying Light;214431
Phasmophobia;219090
Fallout 4;228957
Portal 2;232329
DARK SOULS™ III;235422
Don't Starve Together;238636
The Forest;239734
Hollow Knight;269854
Monster Hunter: World;290946
Wallpaper Engine;292790
The Elder Scrolls V: Skyrim;294966
Stardew Valley;315717
Euro Truck Simulator 2;387553
ARK: Survival Evolved;400009
Dead by Daylight;418897
The Witcher 3: Wild Hunt;469395
Among Us;485293
PAYDAY 2;487747
Rocket League;498565
Rust;549074
Garry's Mod;655524
Terraria;672815
Tom Clancy's Rainbow Six Siege;841918
Grand Theft Auto V;1019116
PLAYERUNKNOWN'S BATTLEGROUNDS;1644255
